ndc,drug_name,tier
00074322002,Humira 40mg,Specialty
00074905801,Enbrel 50mg,Specialty
00002771001,Jardiance 10mg,Basic
00002771002,Jardiance 25mg,Basic
00169750011,Ozempic 0.25mg,Basic+
00169750012,Ozempic 0.5mg,Basic+
00169750013,Ozempic 1mg,Basic+
72511020301,Wegovy 0.25mg,ZorroCard
72511020302,Wegovy 0.5mg,ZorroCard
72511020303,Wegovy 1mg,ZorroCard
72511020304,Wegovy 1.7mg,ZorroCard
72511020305,Wegovy 2.4mg,ZorroCard
00002140880,Mounjaro 2.5mg,ZorroCard
00002140980,Mounjaro 5mg,ZorroCard
00002141080,Mounjaro 7.5mg,ZorroCard
00002141180,Mounjaro 10mg,ZorroCard
59148003805,Revlimid 25mg,LDD
59572098210,Thalomid 100mg,LDD
61958250101,Pomalyst 4mg,LDD
00006007254,Metformin 500mg,Basic
00006007255,Metformin 1000mg,Basic
00093505898,Atorvastatin 20mg,Basic
00093505998,Atorvastatin 40mg,Basic
00378180010,Levothyroxine 50mcg,Basic
00378180077,Levothyroxine 100mcg,Basic
00071015523,Lipitor 10mg,Basic
00071015540,Lipitor 20mg,Basic
00074309313,Synthroid 75mcg,Basic+
00074309413,Synthroid 100mcg,Basic+
00054418425,Prednisone 10mg,Basic
00054418525,Prednisone 20mg,Basic
68462039010,Omeprazole 20mg,Basic
68462039110,Omeprazole 40mg,Basic
00173068200,Advair 250/50,Basic+
00173068300,Advair 500/50,Basic+
59762370001,Stelara 45mg,Specialty
59762370002,Stelara 90mg,Specialty
00069054901,Xeljanz 5mg,Specialty
00069054902,Xeljanz 10mg,Specialty
